fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,haem
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,other
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hsid
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,haem
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,het
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,id
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,haem
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,het
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,mother
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,blood
Aids2.csv,sex:M,T.categ,Male,Reported transmission category,hs
