fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Airline.csv,lf:low,year,Airlines with low load factor,Year,1
Airline.csv,lf:low,year,Airlines with low load factor,Year,2
Airline.csv,lf:low,year,Airlines with low load factor,Year,3
Airline.csv,lf:low,year,Airlines with low load factor,Year,4
Airline.csv,lf:low,year,Airlines with low load factor,Year,1
Airline.csv,lf:low,year,Airlines with low load factor,Year,2
Airline.csv,lf:low,year,Airlines with low load factor,Year,3
Airline.csv,lf:low,year,Airlines with low load factor,Year,4
Airline.csv,lf:low,year,Airlines with low load factor,Year,6
Airline.csv,lf:low,year,Airlines with low load factor,Year,7
Airline.csv,lf:low,year,Airlines with low load factor,Year,12
Airline.csv,lf:low,year,Airlines with low load factor,Year,13
Airline.csv,lf:low,year,Airlines with low load factor,Year,14
Airline.csv,lf:low,year,Airlines with low load factor,Year,15
Airline.csv,lf:low,year,Airlines with low load factor,Year,1
Airline.csv,lf:low,year,Airlines with low load factor,Year,2
Airline.csv,lf:low,year,Airlines with low load factor,Year,14
Airline.csv,lf:low,year,Airlines with low load factor,Year,1
Airline.csv,lf:low,year,Airlines with low load factor,Year,2
Airline.csv,lf:low,year,Airlines with low load factor,Year,3
Airline.csv,lf:low,year,Airlines with low load factor,Year,4
Airline.csv,lf:low,year,Airlines with low load factor,Year,5
Airline.csv,lf:low,year,Airlines with low load factor,Year,6
Airline.csv,lf:low,year,Airlines with low load factor,Year,7
Airline.csv,lf:low,year,Airlines with low load factor,Year,8
Airline.csv,lf:low,year,Airlines with low load factor,Year,1
Airline.csv,lf:low,year,Airlines with low load factor,Year,2
Airline.csv,lf:low,year,Airlines with low load factor,Year,3
Airline.csv,lf:low,year,Airlines with low load factor,Year,4
Airline.csv,lf:low,year,Airlines with low load factor,Year,5
Airline.csv,lf:low,year,Airlines with low load factor,Year,6
Airline.csv,lf:low,year,Airlines with low load factor,Year,1
Airline.csv,lf:low,year,Airlines with low load factor,Year,2
Airline.csv,lf:low,year,Airlines with low load factor,Year,3
Airline.csv,lf:low,year,Airlines with low load factor,Year,4
Airline.csv,lf:low,year,Airlines with low load factor,Year,5
Airline.csv,lf:low,year,Airlines with low load factor,Year,6
Airline.csv,lf:low,year,Airlines with low load factor,Year,7
Airline.csv,lf:low,year,Airlines with low load factor,Year,8
Airline.csv,lf:low,year,Airlines with low load factor,Year,9
Airline.csv,lf:low,year,Airlines with low load factor,Year,10
Airline.csv,lf:low,year,Airlines with low load factor,Year,11
Airline.csv,lf:low,year,Airlines with low load factor,Year,13
Airline.csv,lf:low,year,Airlines with low load factor,Year,14
Airline.csv,lf:low,year,Airlines with low load factor,Year,15
Airline.csv,lf:high,year,Airlines with high load factor,Year,5
Airline.csv,lf:high,year,Airlines with high load factor,Year,6
Airline.csv,lf:high,year,Airlines with high load factor,Year,7
Airline.csv,lf:high,year,Airlines with high load factor,Year,8
Airline.csv,lf:high,year,Airlines with high load factor,Year,9
Airline.csv,lf:high,year,Airlines with high load factor,Year,10
Airline.csv,lf:high,year,Airlines with high load factor,Year,11
Airline.csv,lf:high,year,Airlines with high load factor,Year,12
Airline.csv,lf:high,year,Airlines with high load factor,Year,13
Airline.csv,lf:high,year,Airlines with high load factor,Year,14
Airline.csv,lf:high,year,Airlines with high load factor,Year,15
Airline.csv,lf:high,year,Airlines with high load factor,Year,5
Airline.csv,lf:high,year,Airlines with high load factor,Year,8
Airline.csv,lf:high,year,Airlines with high load factor,Year,9
Airline.csv,lf:high,year,Airlines with high load factor,Year,10
Airline.csv,lf:high,year,Airlines with high load factor,Year,11
Airline.csv,lf:high,year,Airlines with high load factor,Year,3
Airline.csv,lf:high,year,Airlines with high load factor,Year,4
Airline.csv,lf:high,year,Airlines with high load factor,Year,5
Airline.csv,lf:high,year,Airlines with high load factor,Year,6
Airline.csv,lf:high,year,Airlines with high load factor,Year,7
Airline.csv,lf:high,year,Airlines with high load factor,Year,8
Airline.csv,lf:high,year,Airlines with high load factor,Year,9
Airline.csv,lf:high,year,Airlines with high load factor,Year,10
Airline.csv,lf:high,year,Airlines with high load factor,Year,11
Airline.csv,lf:high,year,Airlines with high load factor,Year,12
Airline.csv,lf:high,year,Airlines with high load factor,Year,13
Airline.csv,lf:high,year,Airlines with high load factor,Year,15
Airline.csv,lf:high,year,Airlines with high load factor,Year,9
Airline.csv,lf:high,year,Airlines with high load factor,Year,10
Airline.csv,lf:high,year,Airlines with high load factor,Year,11
Airline.csv,lf:high,year,Airlines with high load factor,Year,12
Airline.csv,lf:high,year,Airlines with high load factor,Year,13
Airline.csv,lf:high,year,Airlines with high load factor,Year,14
Airline.csv,lf:high,year,Airlines with high load factor,Year,15
Airline.csv,lf:high,year,Airlines with high load factor,Year,7
Airline.csv,lf:high,year,Airlines with high load factor,Year,8
Airline.csv,lf:high,year,Airlines with high load factor,Year,9
Airline.csv,lf:high,year,Airlines with high load factor,Year,10
Airline.csv,lf:high,year,Airlines with high load factor,Year,11
Airline.csv,lf:high,year,Airlines with high load factor,Year,12
Airline.csv,lf:high,year,Airlines with high load factor,Year,13
Airline.csv,lf:high,year,Airlines with high load factor,Year,14
Airline.csv,lf:high,year,Airlines with high load factor,Year,15
Airline.csv,lf:high,year,Airlines with high load factor,Year,12
