fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,195
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,155
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,240
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,160
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,175
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,165
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,145
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,270
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,160
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,150
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,190
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,145
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,160
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,155
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,220
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,155
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,190
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,185
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,175
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,180
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,220
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,195
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,125
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,180
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,180
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,150
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,160
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,135
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,175
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,150
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,160
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,168
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,155
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,210
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,165
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,195
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,130
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,140
Backpack.csv,Sex:Male,BodyWeight,Male,Body weight,170
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,120
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,180
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,185
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,130
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,120
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,135
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,145
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,105
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,117
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,205
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,140
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,165
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,145
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,120
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,135
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,165
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,145
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,140
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,143
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,145
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,135
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,130
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,165
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,140
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,115
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,128
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,150
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,150
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,116
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,145
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,144
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,130
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,140
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,150
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,140
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,127
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,150
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,144
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,105
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,125
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,130
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,120
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,175
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,145
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,115
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,110
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,130
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,135
Backpack.csv,Sex:Female,BodyWeight,Female,Body weight,128
