fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.21124
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.17004
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.09378
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.63796
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.05393
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.7842
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.80271
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.7258
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.25179
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.84054
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.67191
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.95577
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.77299
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.00245
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.13081
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.35472
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.38799
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.15172
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,1.61282
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.09744
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.12744
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.1415
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.12269
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.15445
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.17171
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.08826
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.15876
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.09164
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.19539
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.09512
Boston.csv,black:low,crim,Regions with low proportion of black people,Per capita crime rate by town,0.10153
