fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.631
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.004
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.889
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.096
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.935
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.99
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.456
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.727
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.57
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.599
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.813
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.047
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.495
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.674
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.713
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.072
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.95
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.701
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.096
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.841
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.77
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.169
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.069
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.145
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.966
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.417
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,5.961
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.065
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.245
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.286
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.279
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.14
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.232
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.167
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.625
Boston.csv,black:low,rm,Regions with low proportion of black people,Average number of rooms per dwelling,6.405
