fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,2.31
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.07
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.07
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,2.18
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,2.18
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,2.18
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,7.87
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.96
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.96
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.96
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.96
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,2.95
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,2.95
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,6.91
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.64
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.64
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.64
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.64
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,4
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,1.22
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,0.74
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,1.32
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.13
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.13
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.13
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.13
Boston.csv,crim:low,indus,Regions with low crime rate,Proportion of non-retail business acres per town,5.13
