fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,4.98
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,9.14
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,4.03
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,2.94
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,5.33
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,5.21
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,12.43
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,19.15
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,29.93
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,17.1
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,20.45
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,13.27
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,15.71
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,9.68
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,11.41
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,8.77
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,10.13
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,4.32
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,1.98
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,4.84
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,5.81
Boston.csv,crim:low,lstat,Regions with low crime rate,Percent of people with lower socioeconomic status,7.44
