fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.681936665
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-4.214670165
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.736600669
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.102922997
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.575118363
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.078313525
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.090443971
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.565750548
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.371202514
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.358823453
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.798602876
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.241845378
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.098378236
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.966576245
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.393618635
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.257274869
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.163043263
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.638839005
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.596193389
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.4710833
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.721246399
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.202732459
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.730487056
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.007888512
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.655018586
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.105130343
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.115034802
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.009128595
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.496209317
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.36552273
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.211124884
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.715569266
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.524910197
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.410832609
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-4.031517051
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.332547047
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.145693958
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.615467385
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.304693478
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.920818754
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.552841969
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.127261173
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.36552273
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.552067134
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.41589503
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.314885531
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-4.30980392
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.13430394
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.727694156
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.684659523
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.910094889
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.523168371
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.498940738
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.207608311
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.514278574
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.638839005
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.465973894
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.427244535
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.671620397
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.178486472
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.571541226
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.77237035
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.815308569
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.66756154
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.13430394
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.348721986
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.60292945
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.345149909
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.284916329
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.627087997
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.090979146
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.885389016
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.833688319
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.217169195
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.552841969
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.079354999
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.112945622
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.552221991
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.375305469
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.318216234
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.35753548
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.574139855
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.951946827
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.987162775
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.625251654
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.066512712
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.950781977
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.501413791
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.371304617
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-4.075720714
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-4.060480747
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.602407566
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.067983094
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.106959888
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.345823458
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.059483515
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.092588639
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.609948504
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.381847267
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.503070352
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.296708622
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.655804284
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.118615343
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.040624663
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.585026652
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.011441043
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.083546051
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.507798549
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-0.387852162
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.241845378
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-3.511449283
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.732124581
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.851705903
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-2.315603522
Caterpillars.csv,ActiveFeeding:Y,LogDryFrass,Caterpillars that are fed actively,Amount of dry frass in log scale,-1.920818754
