fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.681936665
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.013676223
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.453087357
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.102922997
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.575118363
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.078313525
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.090443971
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-0.565750548
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-0.371202514
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.798602876
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.241845378
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.530767257
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.098378236
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.134422293
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.393618635
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.257274869
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.163043263
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-0.638839005
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-0.596193389
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.721246399
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.202732459
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-4.008773924
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-3.007888512
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.929592678
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.655018586
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.105130343
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-2.009128595
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.496209317
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.36552273
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-1.211124884
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-0.715569266
Caterpillars.csv,Fgp:Y,LogDryFrass,Caterpillars that are in free growth period,Amount of dry frass in log scale,-0.524910197
