fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32.5000038146973
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",31
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",26
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",31
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",42
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",30
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",28
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",25.1000003814697
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",28.0000057220459
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",26.5
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",19
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",42
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",29
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",36
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",29.0000038146973
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",27.5833320617676
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",18
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",33
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",41
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",28
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",31
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37.0000038146973
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",30
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",35
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",39
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",23
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",31
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",29
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",35.25
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",28
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",18.5000019073486
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",33
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",39
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",41
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",33
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",24
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32.5000038146973
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",31
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",26
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",31
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",42
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",30
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",28
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",40
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",25.1000003814697
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32.6666717529297
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",26.5
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",38
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",19
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",32
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",42
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",29
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",42
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",37
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",39
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",29.0000038146973
Cigarette.csv,cpi:low,tax,Regions with low consumer price index,"average state, federal, and average local excise taxes for fiscal year",34
