fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,22
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,30
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,24
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,12
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,48
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,24
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,8
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,2
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,4
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,20
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,12
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,12
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,4
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,4
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,4
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,12
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,2
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,1
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,12
Clothing.csv,Freq24:low,Recency,Customers who purchased little in the last 24 months,Number of months since the last purchase,4
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,5
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,2
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,12
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,5
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,1
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,5
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,13
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,8
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,2
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,5
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,7
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,8
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,5
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,1
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,2
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,6
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,2
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,1
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,4
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,3
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,1
Clothing.csv,Freq24:high,Recency,Customers who purchased a lot in the last 24 months,Number of months since the last purchase,1
