fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.465753
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.377049
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.438356
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.5
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.366667
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.392857
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.45
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.436893
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.435714
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.356436
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.457627
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.36478
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.333333
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.541096
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.565517
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.611714
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.559499
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.469854
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.413534
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.429072
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.439394
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.617886
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.626374
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.554839
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.547297
Crime.csv,prbarr:low,prbpris,Counties with low probability of being arrested,Probability of prison sentence,0.433498
