fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,M
Davis.csv,repht:low,sex,Short people,Sex,M
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,M
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,M
Davis.csv,repht:low,sex,Short people,Sex,M
Davis.csv,repht:low,sex,Short people,Sex,F
Davis.csv,repht:low,sex,Short people,Sex,F
