fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Davis.csv,sex:M,repwt,Male,Reported weight,77
Davis.csv,sex:M,repwt,Male,Reported weight,70
Davis.csv,sex:M,repwt,Male,Reported weight,76
Davis.csv,sex:M,repwt,Male,Reported weight,77
Davis.csv,sex:M,repwt,Male,Reported weight,73
Davis.csv,sex:M,repwt,Male,Reported weight,71
Davis.csv,sex:M,repwt,Male,Reported weight,64
Davis.csv,sex:M,repwt,Male,Reported weight,75
Davis.csv,sex:M,repwt,Male,Reported weight,101
Davis.csv,sex:M,repwt,Male,Reported weight,75
Davis.csv,sex:M,repwt,Male,Reported weight,124
Davis.csv,sex:M,repwt,Male,Reported weight,66
Davis.csv,sex:M,repwt,Male,Reported weight,70
Davis.csv,sex:M,repwt,Male,Reported weight,100
Davis.csv,sex:M,repwt,Male,Reported weight,73
Davis.csv,sex:M,repwt,Male,Reported weight,76
Davis.csv,sex:M,repwt,Male,Reported weight,65
Davis.csv,sex:M,repwt,Male,Reported weight,69
Davis.csv,sex:M,repwt,Male,Reported weight,86
Davis.csv,sex:M,repwt,Male,Reported weight,67
Davis.csv,sex:M,repwt,Male,Reported weight,80
Davis.csv,sex:M,repwt,Male,Reported weight,80
Davis.csv,sex:M,repwt,Male,Reported weight,82
Davis.csv,sex:M,repwt,Male,Reported weight,85
Davis.csv,sex:M,repwt,Male,Reported weight,73
Davis.csv,sex:M,repwt,Male,Reported weight,107
Davis.csv,sex:M,repwt,Male,Reported weight,64
Davis.csv,sex:M,repwt,Male,Reported weight,74
Davis.csv,sex:M,repwt,Male,Reported weight,70
Davis.csv,sex:M,repwt,Male,Reported weight,58
Davis.csv,sex:M,repwt,Male,Reported weight,69
Davis.csv,sex:M,repwt,Male,Reported weight,71
Davis.csv,sex:M,repwt,Male,Reported weight,76
Davis.csv,sex:M,repwt,Male,Reported weight,98
Davis.csv,sex:M,repwt,Male,Reported weight,76
Davis.csv,sex:M,repwt,Male,Reported weight,66
Davis.csv,sex:M,repwt,Male,Reported weight,70
Davis.csv,sex:M,repwt,Male,Reported weight,70
Davis.csv,sex:M,repwt,Male,Reported weight,56
Davis.csv,sex:M,repwt,Male,Reported weight,61
Davis.csv,sex:M,repwt,Male,Reported weight,66
Davis.csv,sex:M,repwt,Male,Reported weight,68
Davis.csv,sex:M,repwt,Male,Reported weight,86
Davis.csv,sex:M,repwt,Male,Reported weight,71
Davis.csv,sex:M,repwt,Male,Reported weight,87
Davis.csv,sex:M,repwt,Male,Reported weight,101
Davis.csv,sex:M,repwt,Male,Reported weight,63
Davis.csv,sex:M,repwt,Male,Reported weight,90
