fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.92983
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.91097
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.53366
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.74118
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.53366
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.62799
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.77891
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.5148
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.87323
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.53366
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.74118
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.68458
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.47707
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.76004
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.8355
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.55253
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.38274
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.53366
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.70345
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.11848
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.74118
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.70345
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.47707
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.57139
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.64685
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.85437
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.09962
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.19394
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.57139
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.04302
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.28827
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.25068
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.47707
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.91097
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.47707
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.77891
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.38274
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.98643
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.2694
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,0.77891
Ginzberg.csv,adjdep:low,simplicity,Mildly-depressed patients,Subject's need to see the world in black and white,1.30714
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.8355
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.98643
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.36387
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.57139
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.3826
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.2694
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.72231
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.00529
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.5148
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.68444
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,2.08061
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.04302
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,0.92983
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.59011
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.23167
Ginzberg.csv,adjdep:high,simplicity,Severely-depressed patients,Subject's need to see the world in black and white,1.34487
