fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,354
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,24
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,12
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,8
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,866
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,203
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,207
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,238
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,11
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,732
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,39
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,56
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,1087
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,136
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,571
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,107
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,560
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,14
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,483
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,195
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,80
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,51
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,27
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,4
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,319
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,64
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,194
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,170
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,16
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,777
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,57
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,114
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,9
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,727
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,39
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,78
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,422
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,690
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,548
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,153
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,186
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,55
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,820
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,67
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,63
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,875
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,32
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,71
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,162
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,227
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,106
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,53
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,61
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,11
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,695
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,666
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,224
Hitters.csv,PutOuts:low,CWalks,Players with few put outs,Number of walks during his career,546
