fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,141
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,37
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,73
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,81
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,92
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,113
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,60
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,43
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,39
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,158
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,46
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,32
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,84
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,168
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,106
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,36
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,98
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,61
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,54
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,57
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,132
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,57
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,53
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,7
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,168
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,102
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,58
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,78
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,113
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,44
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,56
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,53
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,3
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,139
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,53
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,142
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,113
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,81
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,131
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,55
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,103
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,96
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,70
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,46
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,82
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,41
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,78
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,138
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,69
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,119
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,49
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,37
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,95
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,51
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,128
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,64
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,171
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,77
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,85
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,96
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,77
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,84
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,126
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,59
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,104
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,54
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,70
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,39
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,40
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,103
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,69
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,45
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,39
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,70
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,61
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,41
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,86
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,95
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,147
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,102
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,94
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,100
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,93
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,163
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,66
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,69
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,47
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,58
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,118
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,150
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,74
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,91
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,159
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,136
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,85
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,64
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,70
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,128
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,34
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,92
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,53
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,56
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,93
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,148
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,54
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,77
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,120
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,1
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,76
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,93
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,84
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,83
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,135
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,123
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,56
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,72
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,77
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,96
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,70
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,101
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,6
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,82
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,145
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,44
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,80
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,76
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,52
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,90
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,68
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,119
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,27
Hitters.csv,PutOuts:low,Hits,Hitters with few put outs,Number of hits,68
