fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,65
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,23
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,24
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,26
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,49
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,48
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,30
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,29
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,20
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,89
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,24
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,16
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,42
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,83
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,38
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,19
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,31
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,34
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,21
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,23
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,57
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,34
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,30
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,1
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,80
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,49
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,28
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,32
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,58
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,21
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,27
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,31
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,1
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,93
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,29
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,67
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,44
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,42
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,69
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,24
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,59
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,37
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,49
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,23
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,44
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,21
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,35
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,76
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,24
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,54
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,41
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,15
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,55
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,19
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,70
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,30
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,91
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,45
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,30
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,49
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,36
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,62
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,42
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,45
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,50
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,30
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,22
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,18
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,23
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,48
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,33
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,38
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,18
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,32
Hitters.csv,PutOuts:low,Runs,Players with few put outs,Number of runs,32
