fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.386
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.288
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.269
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.256
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.286
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.298
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.329
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.318
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.319
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.307
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.284
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.326
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.309
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.359
Icecream.csv,temp:low,cons,Cool days,Consumption of ice cream per head,0.376
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.374
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.393
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.425
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.406
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.344
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.327
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.381
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.381
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.47
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.443
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.386
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.342
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.416
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.437
Icecream.csv,temp:high,cons,Warm days,Consumption of ice cream per head,0.548
