fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-97
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-77
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,83
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,71
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,3
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,4
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-36
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-186
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-30
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,64
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,56
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,80
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-22
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-8
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-41
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-42
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-30
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-203
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-22
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-15
Markets.csv,Nik225ch:low,DJIAch,Days with negative change in Nikkei 225 stock average,Change in Dow Jones Industrial Average,-67
