fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1968
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1977
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1966
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1968
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1967
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1970
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1970
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1970
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1971
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1970
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1973
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1970
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1966
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1969
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1972
Melanoma.csv,thickness:low,year,Patients with small tumour,Year of operation,1971
