fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,53
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,48
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,51
Mroz.csv,agew:low,ageh,Younger women,Husband's age,48
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,49
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,54
Mroz.csv,agew:low,ageh,Younger women,Husband's age,45
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,46
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,48
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,45
Mroz.csv,agew:low,ageh,Younger women,Husband's age,48
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,48
Mroz.csv,agew:low,ageh,Younger women,Husband's age,46
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,52
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,32
Mroz.csv,agew:low,ageh,Younger women,Husband's age,46
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,52
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,46
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,46
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,45
Mroz.csv,agew:low,ageh,Younger women,Husband's age,30
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,44
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,37
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,36
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,42
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,45
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,49
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,35
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,47
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,41
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,38
Mroz.csv,agew:low,ageh,Younger women,Husband's age,31
Mroz.csv,agew:low,ageh,Younger women,Husband's age,43
Mroz.csv,agew:low,ageh,Younger women,Husband's age,40
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,33
Mroz.csv,agew:low,ageh,Younger women,Husband's age,34
Mroz.csv,agew:low,ageh,Younger women,Husband's age,39
