fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2550
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1928
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1100
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3193
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2250
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2012
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3856
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1645
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1554
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2352
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1980
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2352
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1784
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2500
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2088
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,4640
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3900
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1988
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1920
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2400
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1867
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3570
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2805
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1110
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2695
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1950
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2128
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3260
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1987
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2185
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2475
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2610
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1920
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2352
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3160
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1040
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3120
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2240
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1980
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1960
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2940
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2467
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2256
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1680
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2250
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2400
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2196
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2400
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3825
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2860
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2750
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2103
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1880
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3185
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2677
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3600
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,4334
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2874
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1936
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1964
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1900
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2500
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3173
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2916
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2208
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2094
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2250
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2000
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2600
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,4368
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3068
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2218
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1848
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2430
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2640
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2108
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1998
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2500
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1665
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2990
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1795
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2500
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2205
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2460
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1880
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3481
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2450
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2062
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2146
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1575
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3096
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3280
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1680
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2625
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1846
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2178
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,960
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2210
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2192
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1960
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1920
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2286
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2000
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2256
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2370
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1800
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2250
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1080
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2840
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2250
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2746
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2300
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2860
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1765
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2520
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2208
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2119
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2580
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1984
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1880
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2185
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2080
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1920
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,3000
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2100
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1690
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2600
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1984
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2064
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2553
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2776
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2315
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1880
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2160
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,900
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2467
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1820
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2223
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2142
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1928
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2783
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1960
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1920
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,1587
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2496
Mroz.csv,work:yes,hoursh,Married women who are working,Husband's hours worked,2280
