fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,50
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,50
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,50
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,50
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,50
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,50
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,55
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,35
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,40
OME.csv,Correct:low,Loud,Participants with fewer correct responses,Loudness of stimulus,45
