fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),66
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),50
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),88
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),66
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),58
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),66
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),80
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),50
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),50
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),66
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),85
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),86
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),72
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),66
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),44
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),65
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),50
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),72
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),56
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),76
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),76
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),74
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),30
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),52
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),82
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),74
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),80
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),110
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),80
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),72
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),85
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),66
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),78
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),52
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),80
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),90
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),90
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),86
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),80
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),56
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),88
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),84
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),58
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),74
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),50
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),75
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),72
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),86
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),58
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),46
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),86
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),82
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),82
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),54
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),58
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),72
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),84
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),84
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),88
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),74
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),78
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),74
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),56
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),64
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),82
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),68
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),62
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),65
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),72
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),90
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),54
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),70
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),60
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),56
Pima.te.csv,age:low,bp,Younger Pima Indian women,Diastolic blood pressure (mm Hg),80
