fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7325.8
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7525.94
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7765.42
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7907.66
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8025.52
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8158.23
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8228.19
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8365.67
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8510.64
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8640.61
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8663.5
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8628.83
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8645.14
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8612.47
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8655.94
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8726.24
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4556.81
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4701.97
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4847.84
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4963.46
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5071.38
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5163.41
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5249.82
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5358.45
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5470
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5603.12
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5720.38
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5816.05
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,3647.73
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,3686.95
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,3780.05
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,3894.77
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,3985.99
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4051.66
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4185.4
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4316.52
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4405.68
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4483.21
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4531.36
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4608.72
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4681.5
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4662.68
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4654.37
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4639.3
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4652.71
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4403.21
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4535.52
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4757.59
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,4982.21
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7237.14
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2078.95
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2076.73
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2105.3
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2125.88
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2195.49
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2197.46
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2161.42
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2158.95
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2134.89
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2103.91
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2071.23
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2050.14
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2038.78
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2029.77
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2037.26
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2043.62
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2052.16
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7999.19
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8213.17
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8433.38
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2193.99
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2276.68
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2353.72
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2399.18
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2467.04
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2531.4
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2563.07
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2606.65
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2674.18
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2724.98
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2740.64
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2753.25
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2749.25
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2756.72
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2794.78
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2838.03
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2886.07
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8684.87
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,8926.99
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9144.08
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9424.4
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9571.66
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9677.48
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9770.03
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9948.06
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10038.99
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10112.22
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10183.36
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10188.72
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10187.89
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10187.06
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10197.84
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,5988.83
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6098.1
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6226.46
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6368.52
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6488.52
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6542.8
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6628.42
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6753.55
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6830.98
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6863.58
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,6919.83
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7018.71
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7104.16
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7150.68
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7177.68
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7222.85
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,7310.79
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9021.31
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9280.45
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,9606.59
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10008.41
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10372.71
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10505.77
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10588
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10701.7
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,10809.85
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,11017.87
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2206.79
Produc.csv,water:low,hwy,States with poor water and sewer facilities,Indicator for highway and streets,2256.43
