fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,7
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,5
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,6
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,4
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,8
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
Produc.csv,water:low,region,States with poor water and sewer facilities,Region,1
