fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,40
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,45
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,95
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,10
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,140
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,50
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,80
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,69
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,63
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,57
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,206
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,233
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,231
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,65
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,350
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,78
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,65
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,126
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,212
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,304
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,110
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,81
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,85
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,190
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,209
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,35
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,55
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,207
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,60
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,5
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,86
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,44
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,58
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,20
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,10
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,20
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,91
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,75
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,35
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,43
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,55
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,65
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,54
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,66
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,136
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,117
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,55
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,82
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,380
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,52
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,90
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,10
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,140
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,140
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,125
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,1
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,376
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,56
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,48
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,286
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,83
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,40
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,29
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,96
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,277
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,238
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,134
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,584
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,195
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,120
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,48
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,43
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,118
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,135
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,66
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,426
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,110
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,185
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,177
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,352
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,94
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,1364
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,196
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,1462
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,193
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,85
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,29
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,91
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,69
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,48
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,68
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,72
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,114
RiceFarms.csv,pphosph:low,famlabor,Farms with low phosphate,Family labor in hours,468
