fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,2875
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,2110
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,980
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,2081
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,670
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,805
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,380
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,40
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,100
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,23
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,72
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,32
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,32
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,65
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,1
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,115
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,485
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,30
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,50
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,148
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,56
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,302
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,295
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,390
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,30
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,101
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,510
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,160
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,110
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,144
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,70
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,229
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,62
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,510
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,260
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,208
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,380
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,305
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,305
RiceFarms.csv,pphosph:low,hiredlabor,Regions where phosphate fertilizer is cheap,Hired labor in hours,270
