fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,3
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,2
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,1
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,2
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,1.42
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,1.42
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.428
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.214
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.286
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.07
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.307
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.286
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.286
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.284
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.357
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.17
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.56
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.18
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.36
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.355
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.14
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.28
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.286
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.714
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.355
RiceFarms.csv,pphosph:low,size,Areas where phosphate fertilizer is cheap,Total area cultivated with rice,0.18
