fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,2915
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,2155
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,1075
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,2091
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,810
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,855
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,460
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,109
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,163
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,80
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,278
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,265
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,263
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,130
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,350
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,193
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,550
RiceFarms.csv,pphosph:low,totlabor,Regions where phosphate fertilizer is cheap,Total labor in a farm,156
