fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,140
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,50
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,130
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,150
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,50
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,50
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,150
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,150
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,50
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,55
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,50
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,75
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,150
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,150
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,90
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,60
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,55
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,87
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,55
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,55
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,55
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,70
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,55
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,100
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,50
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,75
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
RiceFarms.csv,price:low,pseed,Areas where rice is cheap,Price of seed,80
