fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,34
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,23
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,36
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,26
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,31
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,30
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,19
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,8
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,8
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,23
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,10
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,28
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,8
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,8
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,8
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,31
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,16
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,16
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,1
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,37
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,0
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,9
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,29
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,36
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,1
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,3
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,14
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,32
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,22
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,22
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,22
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,49
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,26
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,0
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,30
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,2
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,9
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,57
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,8
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,1
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,25
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,18
Salaries.csv,discipline:A,yrs.service,Professors who do research on theory,Years of service,14
