fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,97000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,119800
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,74830
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,100938
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,93418
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,103760
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,83900
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,90215
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,100135
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,90304
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,103613
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,100522
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,107008
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,105128
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,105631
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,95611
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,83850
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,82099
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,82600
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,81500
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,82100
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,62884
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,83001
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,77500
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,73877
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,100102
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,81500
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,103994
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,113341
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,95408
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,98510
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,101210
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,105000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,95436
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,100944
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,100000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,103750
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,106300
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,86250
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,90000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,113600
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,118700
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,105350
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,109650
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,107150
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,70000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,73300
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,83000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,74000
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,88600
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,88650
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,81800
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,104800
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,70700
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,71065
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,95642
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,126431
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,99247
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,104542
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,81285
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,108413
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,78182
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,104121
Salaries.csv,rank:AssocProf,salary,Associate Professors,Salary,86895
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,79750
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,79800
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,77700
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,78000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,82379
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,77000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,79916
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,80225
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,80225
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,77000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,86373
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,70768
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,74692
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,75044
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,75243
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,68404
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,73266
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,86100
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,84240
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,88825
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,88400
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,97032
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,84000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,72500
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,72500
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,73500
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,72500
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,73000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,72500
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,89942
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,92000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,95079
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,92000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,92000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,88000
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,89516
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,89942
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,88795
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,91227
Salaries.csv,rank:AsstProf,salary,Assistant Professors,Salary,92000
