fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,9
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,23
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,11
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,5
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,9
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,11
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,12
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,10
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,16
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,22
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,9
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,10
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,10
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,18
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,9
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,10
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,28
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,19
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,53
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,1
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,22
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,7
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,24
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,23
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,33
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,49
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,1
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,39
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,9
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,9
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,11
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,10
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,6
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,17
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,1
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,8
Salaries.csv,rank:AssocProf,yrs.service,Associate Professors,Years of service,5
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,5
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,5
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,6
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,2
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,5
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,0
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,1
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,3
Salaries.csv,rank:AsstProf,yrs.service,Assistant Professors,Years of service,4
