fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,6
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,12
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,13
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,9
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,23
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,12
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,14
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,9
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,10
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,9
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,11
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,9
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,9
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,10
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,10
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,17
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,18
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,11
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,10
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,15
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,19
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,25
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,11
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,10
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,10
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,14
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,15
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,12
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,12
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,6
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,22
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,8
Salaries.csv,rank:AssocProf,yrs.since.phd,Associate Professors,Years since PhD,17
