fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Salaries.csv,rank:Prof,salary,Full Professors,Salary,139750
Salaries.csv,rank:Prof,salary,Full Professors,Salary,173200
Salaries.csv,rank:Prof,salary,Full Professors,Salary,115000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,141500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,175000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,147765
Salaries.csv,rank:Prof,salary,Full Professors,Salary,119250
Salaries.csv,rank:Prof,salary,Full Professors,Salary,129000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,104800
Salaries.csv,rank:Prof,salary,Full Professors,Salary,117150
Salaries.csv,rank:Prof,salary,Full Professors,Salary,101000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,103450
Salaries.csv,rank:Prof,salary,Full Professors,Salary,124750
Salaries.csv,rank:Prof,salary,Full Professors,Salary,137000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,89565
Salaries.csv,rank:Prof,salary,Full Professors,Salary,102580
Salaries.csv,rank:Prof,salary,Full Professors,Salary,93904
Salaries.csv,rank:Prof,salary,Full Professors,Salary,113068
Salaries.csv,rank:Prof,salary,Full Professors,Salary,106294
Salaries.csv,rank:Prof,salary,Full Professors,Salary,134885
Salaries.csv,rank:Prof,salary,Full Professors,Salary,118223
Salaries.csv,rank:Prof,salary,Full Professors,Salary,132261
Salaries.csv,rank:Prof,salary,Full Professors,Salary,117256
Salaries.csv,rank:Prof,salary,Full Professors,Salary,155750
Salaries.csv,rank:Prof,salary,Full Professors,Salary,125196
Salaries.csv,rank:Prof,salary,Full Professors,Salary,146500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,101299
Salaries.csv,rank:Prof,salary,Full Professors,Salary,231545
Salaries.csv,rank:Prof,salary,Full Professors,Salary,94384
Salaries.csv,rank:Prof,salary,Full Professors,Salary,114778
Salaries.csv,rank:Prof,salary,Full Professors,Salary,98193
Salaries.csv,rank:Prof,salary,Full Professors,Salary,151768
Salaries.csv,rank:Prof,salary,Full Professors,Salary,140096
Salaries.csv,rank:Prof,salary,Full Professors,Salary,126621
Salaries.csv,rank:Prof,salary,Full Professors,Salary,108875
Salaries.csv,rank:Prof,salary,Full Professors,Salary,106639
Salaries.csv,rank:Prof,salary,Full Professors,Salary,117704
Salaries.csv,rank:Prof,salary,Full Professors,Salary,109785
Salaries.csv,rank:Prof,salary,Full Professors,Salary,101000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,99418
Salaries.csv,rank:Prof,salary,Full Professors,Salary,111512
Salaries.csv,rank:Prof,salary,Full Professors,Salary,91412
Salaries.csv,rank:Prof,salary,Full Professors,Salary,126320
Salaries.csv,rank:Prof,salary,Full Professors,Salary,146856
Salaries.csv,rank:Prof,salary,Full Professors,Salary,100131
Salaries.csv,rank:Prof,salary,Full Professors,Salary,92391
Salaries.csv,rank:Prof,salary,Full Professors,Salary,113398
Salaries.csv,rank:Prof,salary,Full Professors,Salary,150480
Salaries.csv,rank:Prof,salary,Full Professors,Salary,193000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,150743
Salaries.csv,rank:Prof,salary,Full Professors,Salary,135585
Salaries.csv,rank:Prof,salary,Full Professors,Salary,144640
Salaries.csv,rank:Prof,salary,Full Professors,Salary,122960
Salaries.csv,rank:Prof,salary,Full Professors,Salary,132825
Salaries.csv,rank:Prof,salary,Full Professors,Salary,152708
Salaries.csv,rank:Prof,salary,Full Professors,Salary,172272
Salaries.csv,rank:Prof,salary,Full Professors,Salary,166024
Salaries.csv,rank:Prof,salary,Full Professors,Salary,123683
Salaries.csv,rank:Prof,salary,Full Professors,Salary,129676
Salaries.csv,rank:Prof,salary,Full Professors,Salary,102235
Salaries.csv,rank:Prof,salary,Full Professors,Salary,106689
Salaries.csv,rank:Prof,salary,Full Professors,Salary,133217
Salaries.csv,rank:Prof,salary,Full Professors,Salary,126933
Salaries.csv,rank:Prof,salary,Full Professors,Salary,153303
Salaries.csv,rank:Prof,salary,Full Professors,Salary,127512
Salaries.csv,rank:Prof,salary,Full Professors,Salary,113543
Salaries.csv,rank:Prof,salary,Full Professors,Salary,131205
Salaries.csv,rank:Prof,salary,Full Professors,Salary,112429
Salaries.csv,rank:Prof,salary,Full Professors,Salary,104279
Salaries.csv,rank:Prof,salary,Full Professors,Salary,105000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,120806
Salaries.csv,rank:Prof,salary,Full Professors,Salary,148500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,117515
Salaries.csv,rank:Prof,salary,Full Professors,Salary,115313
Salaries.csv,rank:Prof,salary,Full Professors,Salary,124309
Salaries.csv,rank:Prof,salary,Full Professors,Salary,97262
Salaries.csv,rank:Prof,salary,Full Professors,Salary,96614
Salaries.csv,rank:Prof,salary,Full Professors,Salary,78162
Salaries.csv,rank:Prof,salary,Full Professors,Salary,155500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,113278
Salaries.csv,rank:Prof,salary,Full Professors,Salary,76840
Salaries.csv,rank:Prof,salary,Full Professors,Salary,168635
Salaries.csv,rank:Prof,salary,Full Professors,Salary,136000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,108262
Salaries.csv,rank:Prof,salary,Full Professors,Salary,105668
Salaries.csv,rank:Prof,salary,Full Professors,Salary,152664
Salaries.csv,rank:Prof,salary,Full Professors,Salary,106608
Salaries.csv,rank:Prof,salary,Full Professors,Salary,112696
Salaries.csv,rank:Prof,salary,Full Professors,Salary,119015
Salaries.csv,rank:Prof,salary,Full Professors,Salary,156938
Salaries.csv,rank:Prof,salary,Full Professors,Salary,144651
Salaries.csv,rank:Prof,salary,Full Professors,Salary,128148
Salaries.csv,rank:Prof,salary,Full Professors,Salary,111168
Salaries.csv,rank:Prof,salary,Full Professors,Salary,118971
Salaries.csv,rank:Prof,salary,Full Professors,Salary,137167
Salaries.csv,rank:Prof,salary,Full Professors,Salary,176500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,105890
Salaries.csv,rank:Prof,salary,Full Professors,Salary,167284
Salaries.csv,rank:Prof,salary,Full Professors,Salary,130664
Salaries.csv,rank:Prof,salary,Full Professors,Salary,181257
Salaries.csv,rank:Prof,salary,Full Professors,Salary,151575
Salaries.csv,rank:Prof,salary,Full Professors,Salary,93164
Salaries.csv,rank:Prof,salary,Full Professors,Salary,134185
Salaries.csv,rank:Prof,salary,Full Professors,Salary,111751
Salaries.csv,rank:Prof,salary,Full Professors,Salary,147349
Salaries.csv,rank:Prof,salary,Full Professors,Salary,142467
Salaries.csv,rank:Prof,salary,Full Professors,Salary,141136
Salaries.csv,rank:Prof,salary,Full Professors,Salary,150000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,101000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,134000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,107500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,153750
Salaries.csv,rank:Prof,salary,Full Professors,Salary,180000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,133700
Salaries.csv,rank:Prof,salary,Full Professors,Salary,122100
Salaries.csv,rank:Prof,salary,Full Professors,Salary,189409
Salaries.csv,rank:Prof,salary,Full Professors,Salary,114500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,119700
Salaries.csv,rank:Prof,salary,Full Professors,Salary,160400
Salaries.csv,rank:Prof,salary,Full Professors,Salary,152500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,165000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,96545
Salaries.csv,rank:Prof,salary,Full Professors,Salary,162200
Salaries.csv,rank:Prof,salary,Full Professors,Salary,120000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,163200
Salaries.csv,rank:Prof,salary,Full Professors,Salary,111350
Salaries.csv,rank:Prof,salary,Full Professors,Salary,128400
Salaries.csv,rank:Prof,salary,Full Professors,Salary,126200
Salaries.csv,rank:Prof,salary,Full Professors,Salary,145350
Salaries.csv,rank:Prof,salary,Full Professors,Salary,146000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,119500
Salaries.csv,rank:Prof,salary,Full Professors,Salary,170000
Salaries.csv,rank:Prof,salary,Full Professors,Salary,145200
Salaries.csv,rank:Prof,salary,Full Professors,Salary,129600
Salaries.csv,rank:Prof,salary,Full Professors,Salary,87800
Salaries.csv,rank:Prof,salary,Full Professors,Salary,122400
Salaries.csv,rank:Prof,salary,Full Professors,Salary,88175
Salaries.csv,rank:Prof,salary,Full Professors,Salary,133900
Salaries.csv,rank:Prof,salary,Full Professors,Salary,91000
