fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,18
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,16
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,39
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,41
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,23
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,45
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,20
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,18
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,18
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,3
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,20
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,34
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,23
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,36
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,26
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,31
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,30
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,19
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,8
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,23
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,8
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,4
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,9
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,21
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,31
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,2
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,27
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,38
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,19
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,15
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,28
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,19
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,25
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,28
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,11
Salaries.csv,rank:Prof,yrs.service,Full Professors,Years of service,9
