fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,8
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2.9850746
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,4.8
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2.6666667
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2.6666667
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,3.75
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2.2727273
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,3.4090909
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,0.7518797
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1.3333333
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,3
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,0.8849558
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,6
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,2
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,3
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,1
UScereal.csv,calories:low,protein,Low-Calorie cereals,Protein content,3
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,12.1212121
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,12.1212121
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,2.6666667
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,1.3333333
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,1.3333333
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,6
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,6
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,1.3333333
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,1.3333333
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,1.3333333
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,12
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,9.0909091
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,5.9701493
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,2.9850746
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,6
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,8
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,6
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,2.6666667
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,3
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,2.6666667
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,4.4776119
UScereal.csv,calories:high,protein,High-Calorie cereals,Protein content,2.6666667
