fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,3
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,2
UScereal.csv,carbo:low,shelf,Low-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,2
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,2
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,2
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,3
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
UScereal.csv,carbo:high,shelf,High-carb cereals,Shelf,1
