fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,2.6666667
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.4925373
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,2.6666667
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,4
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.3333333
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.3333333
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.3333333
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,2
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0.6666667
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.4925373
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,0
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.3333333
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.3333333
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1
UScereal.csv,protein:low,fat,Low-protein cereals,Fat content,1.3333333
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,3.030303
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,3.030303
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,2.6666667
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.6
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,4
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,6
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,2.9850746
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.1363636
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,9.0909091
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.3333333
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.3333333
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,2.9850746
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,2.9850746
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,2.9850746
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,4
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.4925373
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,2
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.3333333
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,4
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,0
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1.4925373
UScereal.csv,protein:high,fat,High-protein cereals,Fat content,1
