fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,240
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,125
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,298.50746
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,293.33333
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,280
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,180
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,280
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,290
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,90
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,180
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,220
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,186.66667
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,253.33333
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,125
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,266.66667
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,180
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,51.13636
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,373.33333
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,220
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,135.33835
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,173.33333
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,180
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,220
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,283.58209
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,0
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,212.38938
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,290
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,93.33333
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,200
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,333.33333
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,140
UScereal.csv,protein:low,sodium,Low-protein cereals,Sodium content,266.66667
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,393.93939
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,787.87879
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,280
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,280
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,313.43284
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,232
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,280
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,280
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,0
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,238.80597
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,358.20896
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,159.09091
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,680
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,227.27273
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,333.33333
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,226.66667
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,223.8806
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,223.8806
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,328.35821
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,340
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,298.50746
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,320
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,270
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,280
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,280
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,0
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,0
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,0
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,230
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,190
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,200
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,343.28358
UScereal.csv,protein:high,sodium,High-protein cereals,Sodium content,200
