fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,none
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,100%
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:low,vitamins,Low-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,100%
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,100%
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,none
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,none
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,100%
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,100%
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
UScereal.csv,protein:high,vitamins,High-protein cereals,Vitamin content,enriched
