fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,vitamins:100%,carbo,Cereals with 100% vitamins,Carbohydrate content,26.66667
UScereal.csv,vitamins:100%,carbo,Cereals with 100% vitamins,Carbohydrate content,20
UScereal.csv,vitamins:100%,carbo,Cereals with 100% vitamins,Carbohydrate content,21
UScereal.csv,vitamins:100%,carbo,Cereals with 100% vitamins,Carbohydrate content,15
UScereal.csv,vitamins:100%,carbo,Cereals with 100% vitamins,Carbohydrate content,16
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,15.15152
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,21.21212
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,16
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,14
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,11
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,24
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,22.38806
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,19.40299
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,16
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,13.6
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,17.33333
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,26
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,12
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,22
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,21
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,13
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,12
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,20
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,21
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,14.66667
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,24
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,11
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,18.66667
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,17.5
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,17.91045
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,20.89552
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,17.33333
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,12.5
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,20
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,17.04545
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,68
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,39.39394
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,12
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,15.33333
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,10.52632
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,14
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,17.91045
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,12
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,25.37313
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,15
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,22.38806
UScereal.csv,vitamins:enriched,carbo,Cereals with enriched vitamins,Carbohydrate content,31.34328
