fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
UScereal.csv,vitamins:100%,protein,Cereals with 100% vitamins,Protein content,4
UScereal.csv,vitamins:100%,protein,Cereals with 100% vitamins,Protein content,3
UScereal.csv,vitamins:100%,protein,Cereals with 100% vitamins,Protein content,2
UScereal.csv,vitamins:100%,protein,Cereals with 100% vitamins,Protein content,3
UScereal.csv,vitamins:100%,protein,Cereals with 100% vitamins,Protein content,3
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,12.1212121
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,12.1212121
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,8
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.6666667
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.9850746
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1.3333333
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.8
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1.3333333
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,6
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,6
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.6666667
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.6666667
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1.3333333
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,3.75
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1.3333333
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.2727273
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1.3333333
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,3.4090909
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,12
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,9.0909091
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,0.7518797
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1.3333333
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,5.9701493
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.9850746
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,6
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,8
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,6
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,0.8849558
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.6666667
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,6
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.6666667
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,1
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,4.4776119
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,3
UScereal.csv,vitamins:enriched,protein,Cereals with enriched vitamins,Protein content,2.6666667
