fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,60
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,60
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,60
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,20
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,40
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,80
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,50
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,60
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,40
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,30
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,80
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,90
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,80
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,80
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,50
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,50
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,20
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,60
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,90
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,30
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,20
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,90
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,80
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,50
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,70
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,60
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,90
VA.csv,cell:1,Karn,People with the first Cell type,Karnofsky score,50
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,50
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,50
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,70
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,60
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,40
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,70
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,90
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,90
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,70
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,60
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,60
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,70
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,30
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,60
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,30
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,60
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,75
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,60
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,70
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,80
VA.csv,cell:4,Karn,People with the fourth Cell type,Karnofsky score,30
