fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,63.32
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,58.55
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,55.36
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,57.18
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.2
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.77
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,60.17
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,48.33
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,54.57
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.42
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,61.85
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,48.32
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,57.92
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,56.52
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,54.78
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,56.31
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.65
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,64.62
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,41.54
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,52.78
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,52.72
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,62.46
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.14
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,47.09
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.44
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,48.78
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,56.05
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,56.45
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.11
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,55.97
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,57.28
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,42.96
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,57.58
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,54.11
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,55.39
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,52.23
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,59.33
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,60.22
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,55.73
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,48.57
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,51.99
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,51.17
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,57.54
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,45.23
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,55.06
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,46.96
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,47.57
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,54.63
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,46.31
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,49.13
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.71
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.11
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,46.12
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.41
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,51.48
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,53.2
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,56.01
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,46.52
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,51.75
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,42.15
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,48.76
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,41.93
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,42.95
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,38.3
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,34.36
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,39.03
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,61
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,78
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,66
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,77
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,48
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,73
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,74
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,72
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,76
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,70
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,57
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,67
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,67
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,70
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,62
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,67
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,64
ais.csv,bmi:low,lbm,Athletes with low BMI,Lean body mass,58
