fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,21
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,42
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,44
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,41
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,30
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,48
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,30
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,29
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,34
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,59
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,43
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,40
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,92
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,71
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,73
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,85
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,19
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,39
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,20
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,59
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,22
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,30
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,21
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,109
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,102
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,71
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,64
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,68
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,107
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,39
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,58
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,127
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,102
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,86
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,33
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,51
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,82
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,25
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,22
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,30
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,60
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,115
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,124
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,54
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,29
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,164
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,50
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,36
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,40
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,62
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,90
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,12
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,36
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,45
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,43
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,51
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,22
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,44
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,26
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,16
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,58
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,46
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,43
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,34
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,41
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,57
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,73
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,88
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,182
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,80
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,88
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,109
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,69
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,41
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,66
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,63
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,34
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,97
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,93
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,106
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,41
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,56
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,74
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,58
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,139
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,82
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,80
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,76
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,91
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,36
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,101
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,184
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,44
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,66
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,220
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,191
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,141
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,97
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,53
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,234
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,87
ais.csv,ht:low,ferr,Short Athletes,Plasma ferritins,233
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,60
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,68
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,69
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,29
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,73
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,44
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,38
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,26
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,43
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,53
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,48
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,77
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,71
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,37
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,64
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,41
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,13
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,78
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,78
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,40
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,50
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,58
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,86
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,27
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,55
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,76
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,93
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,46
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,155
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,99
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,35
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,124
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,176
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,107
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,177
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,130
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,64
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,109
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,125
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,150
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,115
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,89
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,183
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,84
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,70
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,118
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,61
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,72
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,91
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,58
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,97
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,110
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,72
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,36
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,53
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,72
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,39
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,61
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,49
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,35
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,8
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,32
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,41
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,20
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,44
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,103
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,50
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,101
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,73
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,87
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,87
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,67
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,132
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,43
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,212
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,94
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,213
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,122
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,53
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,40
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,189
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,212
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,126
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,50
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,94
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,156
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,124
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,97
ais.csv,ht:high,ferr,Tall Athletes,Plasma ferritins,102
