fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
ais.csv,ht:low,wt,Short athletes,Weight,69.1
ais.csv,ht:low,wt,Short athletes,Weight,63.7
ais.csv,ht:low,wt,Short athletes,Weight,62.3
ais.csv,ht:low,wt,Short athletes,Weight,66.5
ais.csv,ht:low,wt,Short athletes,Weight,63
ais.csv,ht:low,wt,Short athletes,Weight,80.5
ais.csv,ht:low,wt,Short athletes,Weight,71.3
ais.csv,ht:low,wt,Short athletes,Weight,70.5
ais.csv,ht:low,wt,Short athletes,Weight,68.7
ais.csv,ht:low,wt,Short athletes,Weight,72.9
ais.csv,ht:low,wt,Short athletes,Weight,74.5
ais.csv,ht:low,wt,Short athletes,Weight,75.4
ais.csv,ht:low,wt,Short athletes,Weight,69.5
ais.csv,ht:low,wt,Short athletes,Weight,75
ais.csv,ht:low,wt,Short athletes,Weight,49.8
ais.csv,ht:low,wt,Short athletes,Weight,67.2
ais.csv,ht:low,wt,Short athletes,Weight,74.3
ais.csv,ht:low,wt,Short athletes,Weight,78.1
ais.csv,ht:low,wt,Short athletes,Weight,59.9
ais.csv,ht:low,wt,Short athletes,Weight,63
ais.csv,ht:low,wt,Short athletes,Weight,66.3
ais.csv,ht:low,wt,Short athletes,Weight,60.7
ais.csv,ht:low,wt,Short athletes,Weight,67.9
ais.csv,ht:low,wt,Short athletes,Weight,67.5
ais.csv,ht:low,wt,Short athletes,Weight,74.1
ais.csv,ht:low,wt,Short athletes,Weight,68.2
ais.csv,ht:low,wt,Short athletes,Weight,68.8
ais.csv,ht:low,wt,Short athletes,Weight,75.3
ais.csv,ht:low,wt,Short athletes,Weight,70
ais.csv,ht:low,wt,Short athletes,Weight,74
ais.csv,ht:low,wt,Short athletes,Weight,51.9
ais.csv,ht:low,wt,Short athletes,Weight,74.1
ais.csv,ht:low,wt,Short athletes,Weight,74.3
ais.csv,ht:low,wt,Short athletes,Weight,77.8
ais.csv,ht:low,wt,Short athletes,Weight,64.1
ais.csv,ht:low,wt,Short athletes,Weight,68.8
ais.csv,ht:low,wt,Short athletes,Weight,64.8
ais.csv,ht:low,wt,Short athletes,Weight,59
ais.csv,ht:low,wt,Short athletes,Weight,75.6
ais.csv,ht:low,wt,Short athletes,Weight,71.4
ais.csv,ht:low,wt,Short athletes,Weight,63.9
ais.csv,ht:low,wt,Short athletes,Weight,55.1
ais.csv,ht:low,wt,Short athletes,Weight,60
ais.csv,ht:low,wt,Short athletes,Weight,58
ais.csv,ht:low,wt,Short athletes,Weight,64.7
ais.csv,ht:low,wt,Short athletes,Weight,87.5
ais.csv,ht:low,wt,Short athletes,Weight,78.9
ais.csv,ht:low,wt,Short athletes,Weight,83.9
ais.csv,ht:low,wt,Short athletes,Weight,82.8
ais.csv,ht:low,wt,Short athletes,Weight,74.4
ais.csv,ht:low,wt,Short athletes,Weight,94.8
ais.csv,ht:low,wt,Short athletes,Weight,49.2
ais.csv,ht:low,wt,Short athletes,Weight,61.9
ais.csv,ht:low,wt,Short athletes,Weight,53.6
ais.csv,ht:low,wt,Short athletes,Weight,63.7
ais.csv,ht:low,wt,Short athletes,Weight,52.8
ais.csv,ht:low,wt,Short athletes,Weight,65.2
ais.csv,ht:low,wt,Short athletes,Weight,50.9
ais.csv,ht:low,wt,Short athletes,Weight,57.3
ais.csv,ht:low,wt,Short athletes,Weight,60
ais.csv,ht:low,wt,Short athletes,Weight,60.1
ais.csv,ht:low,wt,Short athletes,Weight,52.5
ais.csv,ht:low,wt,Short athletes,Weight,59.7
ais.csv,ht:low,wt,Short athletes,Weight,57.3
ais.csv,ht:low,wt,Short athletes,Weight,59.6
ais.csv,ht:low,wt,Short athletes,Weight,71.5
