fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
bioChemists.csv,mar:Married,ment,Married people,Number of publications,7
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,2
bioChemists.csv,mar:Married,ment,Married people,Number of publications,4
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,4
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,7
bioChemists.csv,mar:Married,ment,Married people,Number of publications,13
bioChemists.csv,mar:Married,ment,Married people,Number of publications,6
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,5
bioChemists.csv,mar:Married,ment,Married people,Number of publications,4
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,8
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,8
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,2
bioChemists.csv,mar:Married,ment,Married people,Number of publications,5
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,25
bioChemists.csv,mar:Married,ment,Married people,Number of publications,8
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,12
bioChemists.csv,mar:Married,ment,Married people,Number of publications,8
bioChemists.csv,mar:Married,ment,Married people,Number of publications,2
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,2
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,10
bioChemists.csv,mar:Married,ment,Married people,Number of publications,6
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,4
bioChemists.csv,mar:Married,ment,Married people,Number of publications,5
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,5
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,18
bioChemists.csv,mar:Married,ment,Married people,Number of publications,6
bioChemists.csv,mar:Married,ment,Married people,Number of publications,19
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,6
bioChemists.csv,mar:Married,ment,Married people,Number of publications,19
bioChemists.csv,mar:Married,ment,Married people,Number of publications,8
bioChemists.csv,mar:Married,ment,Married people,Number of publications,1
bioChemists.csv,mar:Married,ment,Married people,Number of publications,0
bioChemists.csv,mar:Married,ment,Married people,Number of publications,3
bioChemists.csv,mar:Married,ment,Married people,Number of publications,19
