fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,908
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,868
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,990
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1056
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,999
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1200
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1056
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1024
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,944
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1029
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,905
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,804
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,959
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,919
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,848
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,876
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,848
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1006
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,804
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,932
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1028
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1019
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1010
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,836
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1042
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,946
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,940
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,922
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,961
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,825
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,953
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,998
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1008
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,893
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,960
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,948
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1053
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,992
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,857
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1019
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,963
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1013
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,959
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,913
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,917
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,947
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,824
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1014
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,938
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,899
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,973
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,971
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,985
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,944
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,955
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,891
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,989
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,861
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,954
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,904
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,993
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1054
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1016
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,971
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,985
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,957
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,860
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1063
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,961
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,872
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1010
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,958
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,987
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,962
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,944
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,935
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,912
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,882
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1010
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1027
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,916
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,829
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,933
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1041
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,905
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,861
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1021
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,919
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,798
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,928
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1086
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,923
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,830
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,822
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,905
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,926
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1015
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,931
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,812
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1012
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,948
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,986
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1031
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,988
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,979
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,985
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,930
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,875
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,977
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,926
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1038
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1006
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,918
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,943
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,924
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1008
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,944
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,873
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1073
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1068
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,897
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1047
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1011
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1019
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1006
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,996
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,978
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,840
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,912
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,954
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1018
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,927
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1040
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,995
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,883
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,990
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,934
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,908
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,986
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,969
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1019
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,992
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1023
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,895
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,845
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,870
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,930
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,976
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,912
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,874
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,892
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,885
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1044
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1072
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,901
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1013
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1043
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,926
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1152
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,936
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,994
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1063
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,821
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,819
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1001
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,975
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,982
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,905
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,1040
channing.csv,time:low,age,Residents who spent little time at Channing House,Age,926
