fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,3
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,3
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,3
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,4
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,1
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,3
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,1
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Africa,Availability of good quality housing,Cities in Africa,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,3
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,4
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,3
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,3
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,3
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,3
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,1
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,3
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,1
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,1
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,1
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
cities.csv,Continent:Asia,Availability of good quality housing,Cities in Asia,Availability of good quality housing,2
