fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,3
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,1
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,3
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,1
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,1
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,1
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,1
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Continent:Africa,Availability of global satellite TV,Cities in Africa,Availability of global satellite TV,2
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
cities.csv,Country:USA,Availability of global satellite TV,Cities in USA,Availability of global satellite TV,1
