fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,2
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,4
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,1
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,4
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,3
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,1
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,5
cities.csv,Continent:Africa,Availability of local sporting events,Cities in Africa,Availability of local sporting events,2
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,2
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,2
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,2
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,2
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
cities.csv,Country:USA,Availability of local sporting events,Cities in USA,Availability of local sporting events,1
