fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,2
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,3
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,3
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,2
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,2
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,3
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,3
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,1
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,3
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,2
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,1
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,1
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,4
cities.csv,Continent:Africa,Availability of over the counter drugs,Cities in Africa,Availability of over the counter drugs,2
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,2
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,2
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
cities.csv,Country:USA,Availability of over the counter drugs,Cities in USA,Availability of over the counter drugs,1
