fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,3
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,4
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,1
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,3
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,3
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,1
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,1
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,Cities in Africa,Availability of private education,2
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,Cities in USA,Availability of private education,1
