fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,3
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,3
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,5
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,5
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,4
cities.csv,Continent:Africa,Availability of public healthcare,Cities in Africa,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
cities.csv,Country:USA,Availability of public healthcare,Cities in USA,Availability of public healthcare,2
