fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,5
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,5
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,2
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,3
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,4
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,2
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,5
cities.csv,Continent:Africa,Availability of quality theatre productions,Cities in Africa,Availability of quality theatre productions,3
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,2
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,2
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,3
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,2
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,3
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,3
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,2
cities.csv,Country:USA,Availability of quality theatre productions,Cities in USA,Availability of quality theatre productions,1
