fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,3
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,4
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,3
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,2
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,4
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,2
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,4
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,1
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,2
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,3
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,4
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,2
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,3
cities.csv,Continent:Africa,Quality of Water provision,Cities in Africa,Quality of Water provision,2
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,2
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,2
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
cities.csv,Country:USA,Quality of Water provision,Cities in USA,Quality of Water provision,1
