fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,4
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,3
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,4
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,4
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,5
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,4
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,5
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,5
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,3
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,5
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,5
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,5
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,4
cities.csv,Continent:Africa,Quality of public healthcare provision,Cities in Africa,Quality of public healthcare provision,3
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
cities.csv,Country:USA,Quality of public healthcare provision,Cities in USA,Quality of public healthcare provision,2
