fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,Cities in Africa,Quality of road network,4
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,1
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,1
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,1
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,1
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,1
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,3
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,3
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,1
cities.csv,Country:USA,Quality of road network,Cities in USA,Quality of road network,2
