fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,40199
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,33057
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,50044
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,43157
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,17780
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,36805
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,30396
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,26864
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,15906
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,10438
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,29489
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,59090
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,58275
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,20799
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,43491
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,32000
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,21523
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,21401
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,46400
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,32188
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,29849
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,32029
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,57745
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,26813
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,33226
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,17201
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,51050
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,36370
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,50930
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,30172
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,17801
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,10620
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,14710
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,32814
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,35790
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,23052
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,17839
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,32506
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,20881
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,33675
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,42198
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,25475
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,35673
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,18033
colleges.csv,Locale:Distant Town,Average Cost,Colleges in distant town,Average cost,57699
