fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,403
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,783
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,874
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,780
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,925
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,541
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1853
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,4120
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,3804
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,623
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,360
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,5112
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,216
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,278
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1199
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,704
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,959
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2706
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2231
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,605
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,570
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,3594
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2641
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,983
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,793
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1059
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1913
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1655
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,292
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2662
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1062
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,430
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,613
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,4856
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1906
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2596
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,434
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,550
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2940
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,2940
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,267
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,4749
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,611
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,794
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,1054
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,415
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,329
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,682
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,586
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,342
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,273
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,310
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,792
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,733
colleges.csv,Locale:Small City,Number of Employed 8 years after entry,Colleges in small cities,Number of Employed 8 years after entry,529
