fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,16
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,5
cps3.csv,black:0,educ,Not black people,Education level,14
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,0
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,6
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,6
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,3
cps3.csv,black:0,educ,Not black people,Education level,5
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,6
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,15
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,2
cps3.csv,black:0,educ,Not black people,Education level,15
cps3.csv,black:0,educ,Not black people,Education level,3
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,17
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,15
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,16
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,0
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,15
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,15
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,4
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,16
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,5
cps3.csv,black:0,educ,Not black people,Education level,6
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,14
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,0
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,14
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,3
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,14
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,11
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,5
cps3.csv,black:0,educ,Not black people,Education level,13
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,4
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,14
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,6
cps3.csv,black:0,educ,Not black people,Education level,7
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,18
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,9
cps3.csv,black:0,educ,Not black people,Education level,10
cps3.csv,black:0,educ,Not black people,Education level,5
cps3.csv,black:0,educ,Not black people,Education level,12
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,8
cps3.csv,black:0,educ,Not black people,Education level,11
